pid,video,order,exint2,valence
97193,1,4,0.9531097,-0.0600356
97193,5,5,1,-0.0589608
97459,2,1,0.1243993,-0.0826477
97459,3,2,0.4097547,-0.0382419
97459,5,3,0.4566449,-0.0665065
97459,4,4,0.7618732,-0.061795
97459,1,5,1,-0.0419629
97821,1,1,0,0.131105
98054,1,1,0,-0.133678
98175,1,1,0,0.0092203
